Student Number;school;year;Class;sex;Birth Date;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;P1;P2;P3
650;GP;2018;DSI/BD/BD;F;20/12/2002;U;GT3;A;4;4;at_home;teacher;course;mother;2;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;4;13;4;4
651;GP;2018;DSI/BD/BD;F;29/04/2003;U;GT3;T;1;1;at_home;other;course;father;1;2;0;no;yes;no;no;no;yes;yes;no;5;3;3;1;1;3;2;2;20;2
652;GP;2018;DSI/BD/BD;F;29/11/2005;U;LE3;T;1;1;at_home;other;other;mother;1;2;0;yes;no;no;no;yes;yes;yes;no;4;3;2;2;3;3;6;20;12;10
653;GP;2018;DSI/BD/BD;F;20/03/2005;U;GT3;T;4;2;health;services;home;mother;1;3;0;no;yes;no;yes;yes;yes;yes;yes;3;2;2;1;1;5;0;3;16;3
654;GP;2018;DSI/BD/BD;F;19/07/2004;U;GT3;T;3;3;other;other;home;father;1;2;0;no;yes;no;no;yes;yes;no;no;4;3;2;1;2;5;0;8;8;1
655;GP;2018;DSI/BD/BD;M;05/10/2004;U;LE3;T;4;3;services;other;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;2;1;2;5;6;20;11;16
656;GP;2018;DSI/BD/BD;M;18/05/2004;U;LE3;T;2;2;other;other;home;mother;1;2;0;no;no;no;no;yes;yes;yes;no;4;4;4;1;1;3;0;5;4;17
657;GP;2018;DSI/BD/BD;F;13/12/2003;U;GT3;A;4;4;other;teacher;home;mother;2;2;0;yes;yes;no;no;yes;yes;no;no;4;1;4;1;1;1;2;14;18;19
658;GP;2018;DSI/BD/BD;M;15/10/2005;U;LE3;A;3;2;services;other;home;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;4;2;2;1;1;1;0;12;12;18
659;GP;2018;DSI/BD/BD;M;30/06/2005;U;GT3;T;3;4;other;other;home;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;5;1;1;1;5;0;13;17;13
660;GP;2018;DSI/BD/BD;F;14/01/2005;U;GT3;T;4;4;teacher;health;reputation;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;3;3;3;1;2;2;2;11;2;3
661;GP;2018;DSI/BD/BD;F;09/11/2005;U;GT3;T;2;1;services;other;reputation;father;3;3;0;no;yes;no;yes;yes;yes;yes;no;5;2;2;1;1;4;0;4;2;8
662;GP;2018;DSI/BD/BD;M;13/01/2005;U;LE3;T;4;4;health;services;course;father;1;1;0;no;yes;no;yes;yes;yes;yes;no;4;3;3;1;3;5;0;6;8;15
663;GP;2018;DSI/BD/BD;M;25/06/2005;U;GT3;T;4;3;teacher;other;course;mother;2;2;0;no;yes;no;no;yes;yes;yes;no;5;4;3;1;2;3;0;14;8;15
664;GP;2018;DSI/BD/BD;M;15/02/2005;U;GT3;A;2;2;other;other;home;other;1;3;0;no;yes;no;no;yes;yes;yes;yes;4;5;2;1;1;3;0;15;13;14
665;GP;2018;DSI/BD/BD;F;22/06/2004;U;GT3;T;4;4;health;other;home;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;4;4;4;1;2;2;6;19;15;11
666;GP;2018;DSI/BD/BD;F;03/03/2004;U;GT3;T;4;4;services;services;reputation;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;3;2;3;1;2;2;10;4;5;10
667;GP;2018;DSI/BD/BD;F;20/02/2004;U;GT3;T;3;3;other;other;reputation;mother;3;2;0;yes;yes;no;yes;yes;yes;no;no;5;3;2;1;1;4;2;18;1;6
668;GP;2018;DSI/BD/BD;M;01/03/2003;U;GT3;T;3;2;services;services;course;mother;1;1;3;no;yes;yes;yes;yes;yes;yes;no;5;5;5;2;4;5;2;15;16;4
669;GP;2018;DSI/BD/BD;M;07/02/2004;U;LE3;T;4;3;health;other;home;father;1;1;0;no;no;no;yes;yes;yes;yes;no;3;1;3;1;3;5;6;14;18;3
670;GP;2018;DSI/BD/BD;M;25/04/2005;U;GT3;T;4;3;teacher;other;reputation;mother;1;2;0;no;no;no;no;yes;yes;yes;no;4;4;1;1;1;1;0;7;7;13
671;GP;2018;DSI/BD/BD;M;16/09/2005;U;GT3;T;4;4;health;health;other;father;1;1;0;no;yes;yes;no;yes;yes;yes;no;5;4;2;1;1;5;0;4;6;3
672;GP;2018;DSI/BD/BD;M;15/07/2004;U;LE3;T;4;2;teacher;other;course;mother;1;2;0;no;no;no;yes;yes;yes;yes;no;4;5;1;1;3;5;0;14;8;17
673;GP;2018;DSI/BD/BD;M;05/01/2004;U;LE3;T;2;2;other;other;reputation;mother;2;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;4;2;4;5;2;2;19;20
674;GP;2018;DSI/BD/BD;F;08/09/2005;R;GT3;T;2;4;services;health;course;mother;1;3;0;yes;yes;no;yes;yes;yes;yes;no;4;3;2;1;1;5;2;8;11;6
675;GP;2018;DSI/BD/BD;F;09/11/2004;U;GT3;T;2;2;services;services;home;mother;1;1;0;no;yes;no;no;no;yes;yes;no;1;2;2;1;3;5;6;4;3;5
676;GP;2018;DSI/BD/BD;M;24/03/2005;U;GT3;T;2;2;other;other;home;mother;1;1;0;no;yes;no;no;yes;yes;yes;no;4;2;2;1;2;5;8;12;2;9
677;GP;2018;DSI/BD/BD;M;17/11/2005;U;GT3;T;4;2;health;services;other;mother;1;1;0;no;no;no;no;yes;yes;yes;no;2;2;4;2;4;1;0;20;9;13
678;GP;2018;DSI/BD/BD;M;03/05/2004;U;LE3;A;3;4;services;other;home;mother;1;2;0;yes;yes;yes;yes;yes;yes;yes;no;5;3;3;1;1;5;2;15;15;15
679;GP;2018;DSI/BD/BD;M;20/04/2004;U;GT3;T;4;4;teacher;teacher;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;5;5;5;5;4;2;16;10
