Student Number;school;year;Class;sex;Birth Date;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;P1;P2;P3
650;GP;2018;DMAT/MAT/MAT1;F;20/12/2002;U;GT3;A;4;4;at_home;teacher;course;mother;2;2;0;yes;no;no;no;yes;yes;no;no;4;3;4;1;1;3;4;3;15;14
651;GP;2018;DMAT/MAT/MAT1;F;29/04/2003;U;GT3;T;1;1;at_home;other;course;father;1;2;0;no;yes;no;no;no;yes;yes;no;5;3;3;1;1;3;2;17;11;16
652;GP;2018;DMAT/MAT/MAT1;F;29/11/2005;U;LE3;T;1;1;at_home;other;other;mother;1;2;0;yes;no;no;no;yes;yes;yes;no;4;3;2;2;3;3;6;20;15;9
653;GP;2018;DMAT/MAT/MAT1;F;20/03/2005;U;GT3;T;4;2;health;services;home;mother;1;3;0;no;yes;no;yes;yes;yes;yes;yes;3;2;2;1;1;5;0;14;17;15
654;GP;2018;DMAT/MAT/MAT1;F;19/07/2004;U;GT3;T;3;3;other;other;home;father;1;2;0;no;yes;no;no;yes;yes;no;no;4;3;2;1;2;5;0;9;10;3
655;GP;2018;DMAT/MAT/MAT1;M;05/10/2004;U;LE3;T;4;3;services;other;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;2;1;2;5;6;3;15;8
656;GP;2018;DMAT/MAT/MAT1;M;18/05/2004;U;LE3;T;2;2;other;other;home;mother;1;2;0;no;no;no;no;yes;yes;yes;no;4;4;4;1;1;3;0;10;3;1
657;GP;2018;DMAT/MAT/MAT1;F;13/12/2003;U;GT3;A;4;4;other;teacher;home;mother;2;2;0;yes;yes;no;no;yes;yes;no;no;4;1;4;1;1;1;2;5;7;17
658;GP;2018;DMAT/MAT/MAT1;M;15/10/2005;U;LE3;A;3;2;services;other;home;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;4;2;2;1;1;1;0;19;2;9
659;GP;2018;DMAT/MAT/MAT1;M;30/06/2005;U;GT3;T;3;4;other;other;home;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;5;1;1;1;5;0;13;13;16
